treatment_id,management_id,Created at,Updated at
77,552,"",""
77,554,"",""
77,555,"",""
77,556,"",""
78,955,"",""
79,955,"",""
79,956,"",""
80,955,"",""
80,957,"",""
81,545,"",""
81,550,"",""
81,551,"",""
81,552,"",""
81,563,"",""
81,564,"",""
81,565,"",""
82,546,"",""
82,547,"",""
82,548,"",""
82,549,"",""
82,550,"",""
82,551,"",""
82,552,"",""
82,566,"",""
82,567,"",""
82,568,"",""
83,1144,"",""
83,1145,"",""
83,1146,"",""
83,1147,"",""
83,1148,"",""
83,1149,"",""
83,1150,"",""
83,1151,"",""
83,1152,"",""
83,1153,"",""
83,1154,"",""
83,1155,"",""
83,1156,"",""
83,1157,"",""
83,1158,"",""
83,1159,"",""
83,1160,"",""
83,1161,"",""
83,1162,"",""
83,1163,"",""
83,1164,"",""
83,1165,"",""
83,1166,"",""
83,1167,"",""
83,1168,"",""
83,1169,"",""
83,1170,"",""
83,1171,"",""
83,1172,"",""
84,543,"",""
84,550,"",""
84,551,"",""
84,552,"",""
84,557,"",""
84,558,"",""
84,559,"",""
85,1225,"",""
85,1226,"",""
85,1228,"",""
85,1229,"",""
85,1230,"",""
86,1225,"",""
86,1227,"",""
86,1228,"",""
86,1229,"",""
86,1230,"",""
87,979,"",""
87,980,"",""
88,988,"",""
88,989,"",""
88,990,"",""
88,991,"",""
88,992,"",""
88,993,"",""
88,994,"",""
88,995,"",""
88,996,"",""
662,1561,"",""
662,1562,"",""
662,1563,"",""
662,1564,"",""
662,1565,"",""
662,1566,"",""
662,1567,"",""
662,1568,"",""
662,1569,"",""
662,1570,"",""
662,1571,"",""
90,997,"",""
91,997,"",""
92,997,"",""
93,997,"",""
95,23,"",""
95,24,"",""
96,23,"",""
96,24,"",""
96,27,"",""
97,19,"",""
97,20,"",""
98,15,"",""
98,17,"",""
99,19,"",""
99,20,"",""
100,15,"",""
100,17,"",""
101,130,"",""
101,131,"",""
101,132,"",""
101,137,"",""
101,138,"",""
101,139,"",""
101,140,"",""
101,141,"",""
101,142,"",""
101,143,"",""
101,144,"",""
101,145,"",""
101,146,"",""
101,147,"",""
101,148,"",""
101,149,"",""
101,150,"",""
101,151,"",""
101,152,"",""
101,153,"",""
101,155,"",""
101,156,"",""
101,157,"",""
101,158,"",""
101,159,"",""
101,160,"",""
101,161,"",""
102,130,"",""
102,131,"",""
102,132,"",""
102,137,"",""
102,138,"",""
102,139,"",""
102,140,"",""
102,141,"",""
102,144,"",""
102,147,"",""
102,150,"",""
103,130,"",""
103,131,"",""
103,132,"",""
103,137,"",""
103,138,"",""
103,139,"",""
103,140,"",""
103,142,"",""
103,145,"",""
103,148,"",""
103,151,"",""
104,130,"",""
104,131,"",""
104,132,"",""
104,137,"",""
104,138,"",""
104,139,"",""
104,140,"",""
104,143,"",""
104,146,"",""
104,149,"",""
104,152,"",""
105,130,"",""
105,131,"",""
105,132,"",""
105,137,"",""
105,138,"",""
105,139,"",""
105,140,"",""
105,141,"",""
105,144,"",""
105,147,"",""
105,150,"",""
106,130,"",""
106,131,"",""
106,132,"",""
106,137,"",""
106,138,"",""
106,139,"",""
106,140,"",""
106,142,"",""
106,145,"",""
106,148,"",""
106,151,"",""
107,130,"",""
107,131,"",""
107,132,"",""
107,137,"",""
107,138,"",""
107,139,"",""
107,140,"",""
107,143,"",""
107,146,"",""
107,149,"",""
107,152,"",""
108,180,"",""
108,181,"",""
108,182,"",""
108,190,"",""
108,191,"",""
108,192,"",""
108,193,"",""
108,194,"",""
108,195,"",""
108,196,"",""
108,202,"",""
108,203,"",""
108,204,"",""
109,180,"",""
109,181,"",""
109,182,"",""
109,198,"",""
109,199,"",""
